S.No.,Name of Project,Department,Principal Investigator/ Investigator/ Mentor /Main Contact Person,Co-PI/Other Investigator etc,Funding Agency,From,To,"Amount, Rs.",Status
1,"Synthesis, Characterization, and Antimicrobial Evaluation of Rhamnolipid Derivatives: A Promising Approach to Combat Antimicrobial Resistance",BT,Dr Sumer Singh Meena,-,IRG ANRF,25-Mar,28-Mar,4464267,Ongoing
2,Development and Clinical Validation of an Artificial Intelligence-empowered antibiotic susceptibility device towards optimizing antimicrobial therapy regimen in leukaemia & bone marrow transplant patients,BT,Prof. Saugata Hazra (IIT Rorrkee),Dr. Mahesh Kumar Sah,ICMR,24-Apr,28-Mar,49800000,Ongoing
3,"Microplastics from sewage treatment plants along lower Ganga River basin: Abundance, associated co-contaminants and post effects of disposing of sludge in aqueous and terrestrial environments",BT,Dr. G.N. Nikhil,,DBT,24-Jul,27-Jul,4287640,Ongoing
,,,,"Dr. Gopala Krishna Darbha, IISER Kolkatta, Dr. T. Bhaskar, CSIR-IIP Dehradun",,,,,
4,Phosphorus recovery from wastewater for safe guarding global Phosphorus stainability and food security denitrifying Phosphorus accumulating organisms (DPAOs) have the merits,BT,Dr. Pranya Ranjan Rout,"Dr. Qiuyan Yuan (University of Manitoba, Canada)",DST-IC-IMPACTS,23-Nov,25-Nov,3484066,Ongoing
5,Bioprospection of Lignocellulose-rich agricultural waste using oleaginous fungi for its potential in bioenergy sector,BT,Dr. NITAI BASAK (Mentor),"Dr. Anjana Bhatia, HMV, Jalandhar",DST- SERB-TARE,2022,2025,1830000,Ongoing
6,Establishment of Scinece Technology and Innovation (STI) hub for empowerment of SC/ST,"BT, CH",Dr. Sumer Singh Meena,"Dr. Anee Mohanty, Dr. G.N. Nikhil, Dr. Anjireddy",DST,2020,2024,24903952,Ongoing
7,"Study on the design, manufacture, testing and performance requirements of foot values for waterworks purposes",CE,Dr. Navdeep Singh,"Dr Shashi Kant Sharma, Dr. Mahesh Patel ad Dr. Satyender Singh",BIS,24-Oct,25-May,620675,Ongoing
8,Review the best safety practices in the operation and maintenance of canals and cross brainage projects,CE,"Dr. Mahesh patel, Dr. Kanish Kapoor and Dr. Navdeep Singh",-,BIS,01.10.2024,27.05.2025,510000,Ongoing
9,"Literature review, market and industry survey, and performance assessment of different type of hinges used in doors and windows (a builder?s hardware) manufactured and/or available in Indian market (Code: CED0111)",CE,Dr. Neelam Rani,"Dr Satyender Singh , Dr Bhaskar De , Dr Abhishek Sharma",BIS,24-Aug,25-Apr,822000,(Ongoing) One month extension yet to be approved by finding agency
